i: 348	t: 0.011600	in: 0.391830	or: 0.343391	oi: -0.085435
i: 349	t: 0.011633	in: 0.236691	or: 0.343481	oi: -0.083747
i: 350	t: 0.011667	in: 0.076045	or: 0.343580	oi: -0.082048
i: 351	t: 0.011700	in: -0.077906	or: 0.343685	oi: -0.080374
i: 352	t: 0.011733	in: -0.214255	or: 0.343780	oi: -0.078680
i: 353	t: 0.011767	in: -0.324165	or: 0.343861	oi: -0.076997
i: 354	t: 0.011800	in: -0.401444	or: 0.343951	oi: -0.075326
i: 355	t: 0.011833	in: -0.442885	or: 0.344044	oi: -0.073659
i: 356	t: 0.011867	in: -0.448336	or: 0.344128	oi: -0.071978
i: 357	t: 0.011900	in: -0.420527	or: 0.344205	oi: -0.070327
i: 358	t: 0.011933	in: -0.364666	or: 0.344295	oi: -0.068648
i: 359	t: 0.011967	in: -0.287844	or: 0.344380	oi: -0.066975
i: 360	t: 0.012000	in: -0.198325	or: 0.344455	oi: -0.065311
i: 361	t: 0.012033	in: -0.104757	or: 0.344525	oi: -0.063652
i: 362	t: 0.012067	in: -0.015407	or: 0.344602	oi: -0.062000
i: 363	t: 0.012100	in: 0.062544	or: 0.344668	oi: -0.060338
i: 364	t: 0.012133	in: 0.123573	or: 0.344725	oi: -0.058681
i: 365	t: 0.012167	in: 0.164202	or: 0.344797	oi: -0.057029
i: 366	t: 0.012200	in: 0.183200	or: 0.344853	oi: -0.055385
i: 367	t: 0.012233	in: 0.181550	or: 0.344928	oi: -0.053735
